iter	Logloss
0	0.6862881149
1	0.6801811582
2	0.6741197018
3	0.6693234116
4	0.6646305156
5	0.6607580163
6	0.6569711045
7	0.6534718192
8	0.6506449411
9	0.64782154
10	0.6457355527
11	0.6431316481
12	0.6408465623
13	0.6391443891
14	0.6371961572
15	0.6356932099
16	0.6340508362
17	0.6329930307
18	0.631799433
19	0.6309270592
20	0.6299793765
21	0.6286311327
22	0.6278214532
23	0.6268472762
24	0.6260192498
25	0.6252303105
26	0.6244615144
27	0.6236468135
28	0.6229726218
29	0.6225245863
30	0.6219379251
31	0.6215227477
32	0.6211127091
33	0.6204866573
34	0.6199045892
35	0.6192206958
36	0.6186523232
37	0.6182298992
38	0.6177938803
39	0.6173179842
40	0.6168290665
41	0.6163745486
42	0.6160533801
43	0.6156733906
44	0.6153009598
45	0.6149151528
46	0.6145069252
47	0.6141582759
48	0.613851192
49	0.6135697503
50	0.6132718916
51	0.6129414988
52	0.6126128161
53	0.6123579769
54	0.6120830734
55	0.611737101
56	0.6113067613
57	0.610989007
58	0.6107060412
59	0.6105096368
60	0.6103072277
61	0.6100348691
62	0.6098984287
63	0.6096533418
64	0.6093414824
65	0.6091267105
66	0.6089708192
67	0.6087869822
68	0.6086155965
69	0.6083698296
70	0.6080579824
71	0.607879229
72	0.6076207962
73	0.6074547929
74	0.6072802499
75	0.6070642173
76	0.6068925297
77	0.6066956801
78	0.6066055166
79	0.606386525
80	0.6062045519
81	0.6060986229
82	0.605942483
83	0.6058285426
84	0.6056622419
85	0.6055236592
86	0.6053985595
87	0.6052358344
88	0.6050110177
89	0.6048630535
90	0.604712841
91	0.6045508627
92	0.6043414345
93	0.6041509745
94	0.6039988802
95	0.6039146329
96	0.6038054078
97	0.6037024402
98	0.6035440642
99	0.6034631633
100	0.6033474798
101	0.6031774636
102	0.6030659537
103	0.6029751484
104	0.6028655017
105	0.6027685524
106	0.6026677674
107	0.6025407707
108	0.602472158
109	0.6023555902
110	0.6021249164
111	0.6020406948
112	0.6019356393
113	0.6017984777
114	0.6016660536
115	0.6015283775
116	0.6014740639
117	0.6013914905
118	0.601302846
119	0.6012173883
120	0.6010852336
121	0.6009693635
122	0.6008080791
123	0.6007055591
124	0.6005128813
125	0.6003647697
126	0.6002341261
127	0.6001395288
128	0.6000570217
129	0.5999744514
130	0.5998971671
131	0.5997650238
132	0.5997055129
133	0.59957254
134	0.5994727015
135	0.5993630848
136	0.599208934
137	0.5991019386
138	0.5990523422
139	0.5989460904
140	0.5988641711
141	0.5987703069
142	0.5986817577
143	0.5985728809
144	0.5984383407
145	0.5983376756
146	0.598240479
147	0.5981200816
148	0.5980415708
149	0.5979443351
150	0.5977206713
151	0.5976580208
152	0.5975511858
153	0.597444984
154	0.5973662611
155	0.5972942772
156	0.5972376382
157	0.5971304264
158	0.5970323454
159	0.5969688638
160	0.5968733533
161	0.596796565
162	0.5966994758
163	0.5965751357
164	0.5964565119
165	0.5964086055
166	0.5963481639
167	0.5962682107
168	0.5962185462
169	0.5961272176
170	0.5960027302
171	0.5958976868
172	0.5958049408
173	0.595699806
174	0.595604869
175	0.5955082219
176	0.5954052924
177	0.5953355733
178	0.5952279463
179	0.5951130264
180	0.5949763786
181	0.594849107
182	0.5947903512
183	0.5946672097
184	0.5945817285
185	0.5945155156
186	0.5944474398
187	0.5943683728
188	0.5942579307
189	0.5941756652
190	0.5940885235
191	0.5939858991
192	0.5939112838
193	0.5937856844
194	0.5937086352
195	0.5935955397
196	0.5935440611
197	0.5934864145
198	0.5934142081
199	0.5933287425
200	0.5932360352
201	0.593149663
202	0.5930317745
203	0.5929252827
204	0.5928771309
205	0.5927925523
206	0.5926421166
207	0.5925627981
208	0.5924811917
209	0.5924080327
210	0.5922426575
211	0.5921500224
212	0.592082086
213	0.5919911522
214	0.5918573161
215	0.591768719
216	0.5916429012
217	0.5914861408
218	0.5914129308
219	0.5913141341
220	0.5912082346
221	0.5911218251
222	0.5910384365
223	0.5909277482
224	0.5908711449
225	0.5907597501
226	0.5906928812
227	0.5905725269
228	0.59049979
229	0.5903725736
230	0.5902686713
231	0.5902007594
232	0.5900622022
233	0.5899115492
234	0.5898080141
235	0.5896993127
236	0.5896186775
237	0.5895150078
238	0.5894412695
239	0.5893595736
240	0.5892905249
241	0.5892132649
242	0.5891219352
243	0.589052365
244	0.5889825272
245	0.5888793559
246	0.5887883498
247	0.5887337316
248	0.5886344169
249	0.5885446503
250	0.5884757299
251	0.5884102598
252	0.5883467826
253	0.5882447164
254	0.5881487705
255	0.5880645607
256	0.5879933127
257	0.587901757
258	0.5878103588
259	0.5877140745
260	0.5876425324
261	0.5875293983
262	0.5874347401
263	0.5873670438
264	0.5873133879
265	0.5871930618
266	0.5871221765
267	0.5870269994
268	0.5869462353
269	0.5868616539
270	0.5867842217
