iter	Passed	Remaining
0	126	125893
1	167	83712
2	206	68614
3	238	59298
4	266	52955
5	291	48267
6	322	45782
7	354	43977
8	385	42455
9	417	41350
10	457	41107
11	491	40437
12	523	39718
13	552	38913
14	583	38331
15	616	37932
16	650	37602
17	692	37765
18	745	38491
19	779	38203
20	806	37604
21	833	37044
22	875	37198
23	924	37612
24	951	37105
25	977	36627
26	1008	36330
27	1036	35977
28	1064	35638
29	1090	35268
30	1117	34918
31	1156	34974
32	1194	35002
33	1223	34772
34	1263	34827
35	1309	35062
36	1340	34900
37	1370	34683
38	1406	34669
39	1443	34636
40	1474	34492
41	1505	34351
42	1537	34209
43	1573	34197
44	1604	34046
45	1640	34017
46	1681	34086
47	1713	33976
48	1745	33867
49	1779	33814
50	1818	33835
51	1856	33838
52	1899	33947
53	1939	33973
54	1983	34088
55	2032	34266
56	2074	34322
57	2105	34197
58	2136	34081
59	2182	34191
60	2231	34346
61	2254	34106
62	2278	33882
63	2307	33749
64	2339	33649
65	2369	33538
66	2399	33412
67	2423	33212
68	2448	33032
69	2480	32960
70	2515	32917
71	2553	32906
72	2592	32922
73	2629	32901
74	2668	32915
75	2705	32899
76	2743	32882
77	2775	32803
78	2801	32661
79	2831	32567
80	2863	32490
81	2899	32455
82	2931	32388
83	2968	32373
84	3006	32359
85	3034	32248
86	3071	32238
87	3100	32134
88	3144	32188
89	3182	32178
90	3214	32110
91	3251	32094
92	3289	32081
93	3318	31982
94	3345	31869
95	3368	31723
96	3401	31669
97	3438	31648
98	3479	31671
99	3514	31633
100	3546	31565
101	3577	31498
102	3609	31433
103	3642	31384
104	3672	31305
105	3710	31297
106	3747	31273
107	3782	31242
108	3818	31216
109	3851	31160
110	3878	31062
111	3910	31002
112	3946	30977
113	3981	30947
114	4015	30900
115	4047	30846
116	4079	30788
117	4110	30724
118	4140	30654
119	4164	30536
120	4193	30462
121	4219	30365
122	4244	30263
123	4272	30181
124	4327	30295
125	4352	30189
126	4375	30078
127	4405	30011
128	4435	29945
129	4463	29871
130	4492	29799
131	4523	29747
132	4548	29653
133	4578	29590
134	4606	29517
135	4635	29449
136	4660	29355
137	4689	29291
138	4718	29228
139	4742	29135
140	4771	29069
141	4800	29008
142	4830	28950
143	4855	28861
144	4902	28910
145	4932	28852
146	4964	28806
147	4995	28755
148	5022	28687
149	5048	28606
150	5073	28526
151	5096	28435
152	5126	28379
153	5148	28282
154	5177	28226
155	5207	28172
156	5238	28127
157	5269	28082
158	5294	28005
159	5325	27956
160	5356	27914
161	5388	27875
162	5429	27881
163	5464	27853
164	5498	27824
165	5536	27816
166	5572	27793
167	5609	27779
168	5647	27767
169	5677	27720
170	5707	27669
171	5742	27644
172	5779	27628
173	5825	27653
174	5853	27594
175	5883	27547
176	5923	27540
177	5971	27577
178	6001	27526
179	6024	27445
180	6049	27372
181	6079	27324
182	6109	27277
183	6140	27231
184	6171	27185
185	6202	27143
186	6233	27100
187	6270	27084
188	6307	27066
189	6353	27086
190	6393	27078
191	6425	27040
192	6460	27014
193	6491	26971
194	6521	26924
195	6551	26875
196	6584	26837
197	6623	26830
198	6669	26843
199	6700	26803
200	6728	26745
201	6760	26708
202	6818	26769
203	6849	26725
204	6875	26664
205	6904	26614
206	6929	26547
207	6961	26507
208	6992	26465
209	7024	26424
210	7052	26370
211	7088	26346
212	7125	26327
213	7165	26316
214	7207	26314
215	7245	26299
216	7279	26266
217	7312	26231
218	7349	26208
219	7380	26167
220	7411	26124
221	7451	26112
222	7482	26072
223	7514	26032
224	7566	26063
225	7599	26025
226	7629	25979
227	7663	25948
228	7694	25904
229	7725	25863
230	7764	25849
231	7803	25831
232	7835	25793
233	7869	25762
234	7909	25747
235	7949	25735
236	7989	25720
237	8023	25687
238	8056	25653
239	8086	25607
240	8124	25586
241	8161	25564
242	8198	25541
243	8235	25517
244	8274	25497
245	8308	25464
246	8345	25442
247	8383	25421
248	8419	25394
249	8460	25381
250	8496	25354
251	8527	25312
252	8580	25334
253	8614	25301
254	8641	25247
255	8671	25200
256	8702	25159
257	8733	25117
258	8772	25096
259	8811	25077
260	8849	25057
261	8886	25032
262	8919	24994
263	8957	24972
264	8995	24950
265	9036	24935
266	9068	24894
267	9101	24858
268	9153	24873
269	9180	24822
270	9210	24776
271	9243	24738
272	9273	24695
273	9304	24654
274	9333	24606
275	9371	24583
276	9410	24562
277	9447	24535
278	9477	24491
279	9505	24443
280	9536	24401
281	9578	24388
282	9611	24350
283	9640	24304
284	9694	24321
285	9724	24276
286	9754	24233
287	9785	24191
288	9815	24149
289	9863	24149
290	9906	24137
291	9939	24099
292	9977	24076
293	10012	24043
294	10049	24017
295	10096	24013
296	10130	23978
297	10160	23935
298	10213	23946
299	10247	23910
300	10277	23866
301	10304	23817
302	10335	23774
303	10373	23749
304	10409	23719
305	10446	23691
306	10483	23664
307	10521	23639
308	10559	23614
309	10595	23583
310	10639	23570
311	10671	23531
312	10704	23495
313	10749	23484
314	10782	23447
315	10812	23404
316	10838	23352
317	10866	23304
318	10899	23268
319	10924	23213
320	10954	23172
321	10986	23132
322	11038	23136
323	11107	23174
324	11178	23216
325	11257	23274
326	11332	23323
327	11402	23361
328	11463	23379
329	11517	23384
330	11563	23372
331	11595	23330
332	11631	23297
333	11698	23326
334	11744	23314
335	11807	23333
336	11852	23318
337	11915	23336
338	11962	23325
339	11994	23282
340	12025	23240
341	12057	23197
342	12088	23154
343	12118	23109
344	12160	23087
345	12229	23116
346	12285	23119
347	12345	23130
348	12394	23120
349	12459	23138
350	12483	23082
351	12514	23038
352	12564	23028
353	12641	23069
354	12702	23078
355	12765	23092
356	12826	23102
357	12880	23098
358	12915	23060
359	12961	23043
360	13026	23058
361	13090	23070
362	13150	23077
363	13213	23086
364	13253	23057
365	13282	23008
366	13339	23007
367	13409	23029
368	13481	23053
369	13539	23053
370	13594	23048
371	13659	23059
372	13716	23056
373	13789	23080
374	13822	23037
375	13875	23028
376	13956	23063
377	14012	23057
378	14063	23042
379	14117	23033
380	14180	23038
381	14250	23055
382	14306	23047
383	14342	23008
384	14398	22999
385	14466	23011
386	14535	23024
387	14589	23012
388	14656	23020
389	14713	23014
390	14774	23012
391	14842	23020
392	14882	22985
393	14991	23058
394	15065	23075
395	15142	23096
396	15214	23109
397	15276	23106
398	15342	23109
399	15408	23112
400	15469	23107
401	15521	23089
402	15552	23039
403	15584	22991
404	15615	22941
405	15641	22884
406	15673	22835
407	15711	22796
408	15790	22816
409	15856	22817
410	15916	22810
411	15976	22800
412	16043	22802
